,Train_filename,Gen_filename,Train_duration,Gen_duration,Difference
0,b-4_151-300_163.wav,VTTS_b-4_151-300_163.wav,4060,3587,473
1,b-3_5639-5744_5658.wav,VTTS_b-3_5639-5744_5658.wav,7140,5550,1590
2,b-3_6016-6115_6028.wav,VTTS_b-3_6016-6115_6028.wav,6620,5921,699
3,b-4_2000-5164_3435.wav,VTTS_b-4_2000-5164_3435.wav,4113,3947,166
4,b-3_4607-5008_4801.wav,VTTS_b-3_4607-5008_4801.wav,3770,4098,-328
5,b-2_611-712_669.wav,VTTS_b-2_611-712_669.wav,2140,2763,-623
6,b-4_2000-5164_3522.wav,VTTS_b-4_2000-5164_3522.wav,2640,2508,132
7,b-3_2524-2854_2658.wav,VTTS_b-3_2524-2854_2658.wav,11530,11320,210
8,b-1_2725-2825_2773.wav,VTTS_b-1_2725-2825_2773.wav,2950,2949,1
9,b-3_1321-1568_1498.wav,VTTS_b-3_1321-1568_1498.wav,2340,2252,88
10,b-1_3228-3328_3312.wav,VTTS_b-1_3228-3328_3312.wav,1080,1219,-139
11,b-3_6301-6400_6357.wav,VTTS_b-3_6301-6400_6357.wav,3720,3808,-88
12,b-1_1010-1110_1050.wav,VTTS_b-1_1010-1110_1050.wav,1800,1892,-92
13,b-2_815-916_867.wav,VTTS_b-2_815-916_867.wav,2590,2659,-69
14,b-4_2000-5164_3493.wav,VTTS_b-4_2000-5164_3493.wav,4954,5550,-596
15,b-2_713-814_714.wav,VTTS_b-2_713-814_714.wav,3200,2833,367
16,b-3_3628-3714_3679.wav,VTTS_b-3_3628-3714_3679.wav,6740,7105,-365
17,b-3_6274-6300_6283.wav,VTTS_b-3_6274-6300_6283.wav,2030,1962,68
18,b-4_2000-5164_4338.wav,VTTS_b-4_2000-5164_4338.wav,3463,3437,26
19,b-4_1221-1300_1296.wav,VTTS_b-4_1221-1300_1296.wav,5470,4888,582
20,b-3_5009-5427_5395.wav,VTTS_b-3_5009-5427_5395.wav,7580,8371,-791
21,b-2_1699-1800_1788.wav,VTTS_b-2_1699-1800_1788.wav,2560,2020,540
22,b-2_203-304_230.wav,VTTS_b-2_203-304_230.wav,1270,1207,63
23,b-3_2855-2942_2922.wav,VTTS_b-3_2855-2942_2922.wav,10740,10344,396
24,b-3_5009-5427_5120.wav,VTTS_b-3_5009-5427_5120.wav,6150,5526,624
25,b-3_2524-2854_2677.wav,VTTS_b-3_2524-2854_2677.wav,6250,6072,178
26,b-1_3632-3732_3721.wav,VTTS_b-1_3632-3732_3721.wav,1800,1974,-174
27,b-2_917-1018_960.wav,VTTS_b-2_917-1018_960.wav,4080,4981,-901
28,b-1_478-578_543.wav,VTTS_b-1_478-578_543.wav,4000,4005,-5
29,b-3_3198-3278_3254.wav,VTTS_b-3_3198-3278_3254.wav,7790,7314,476
30,b-1_1414-1514_1440.wav,VTTS_b-1_1414-1514_1440.wav,1740,2287,-547
31,b-1_2422-2522_2424.wav,VTTS_b-1_2422-2522_2424.wav,2740,2485,255
32,b-4_2000-5164_4705.wav,VTTS_b-4_2000-5164_4705.wav,14358,11610,2748
33,b-4_2000-5164_2980.wav,VTTS_b-4_2000-5164_2980.wav,4323,4412,-89
34,b-3_5853-5956_5863.wav,VTTS_b-3_5853-5956_5863.wav,2580,2159,421
35,b-2_1903-2038_1982.wav,VTTS_b-2_1903-2038_1982.wav,5700,3669,2031
36,b-3_4498-4605_4513.wav,VTTS_b-3_4498-4605_4513.wav,10800,10019,781
37,b-4_2000-5164_3048.wav,VTTS_b-4_2000-5164_3048.wav,1501,1416,85
38,b-3_4607-5008_4927.wav,VTTS_b-3_4607-5008_4927.wav,3690,4145,-455
39,b-4_151-300_202.wav,VTTS_b-4_151-300_202.wav,2650,2473,177
40,b-2_305-406_398.wav,VTTS_b-2_305-406_398.wav,4740,3413,1327
